Year,Topic groups,Topic categories 1,Topic categories 2,Topic categories 3,Suppression,Total,County totals
2015,Residence county by place of occurrence,Washington,Douglas,,,2,122
2017,Residence county by place of occurrence,Lane,Washington,,,2,1093
2019,Residence county by place of occurrence,Clackamas,Tillamook,,,2,29
2016,Residence county by place of occurrence,Jackson,Klamath,,,49,72
2020,Residence county by place of occurrence,Deschutes,Deschutes,,,336,365
2018,Residence county by place of occurrence,Clackamas,Jackson,,,1,403
2020,Residence county by place of occurrence,Jackson,Curry,,,4,27
2016,Residence county by place of occurrence,Clackamas,Multnomah,,,137,2729
2018,Residence county by place of occurrence,Marion,Polk,,,58,94
2020,Residence county by place of occurrence,Deschutes,Multnomah,,,4,2082
2018,Residence county by place of occurrence,Deschutes,Jefferson,,,19,22
2020,Residence county by place of occurrence,Washington,Benton,,,4,97
2019,Residence county by place of occurrence,Lane,Klamath,,,10,96
2019,Residence county by place of occurrence,Deschutes,Klamath,,,7,96
2019,Residence county by place of occurrence,Marion,Yamhill,,,33,124
2020,Residence county by place of occurrence,Deschutes,Lane,,,2,468
2019,Residence county by place of occurrence,Clackamas,Polk,,,14,106
2015,Residence county by place of occurrence,Multnomah,Polk,,,49,91
2017,Residence county by place of occurrence,Deschutes,Harney,,,10,11
2015,Residence county by place of occurrence,Multnomah,Jefferson,,,6,30
2020,Residence county by place of occurrence,Lane,Jackson,,,69,248
2020,Residence county by place of occurrence,Washington,Clatsop,,,4,46
2018,Residence county by place of occurrence,Deschutes,Harney,,,5,10
2019,Residence county by place of occurrence,Deschutes,Malheur,,,9,14
2017,Residence county by place of occurrence,Marion,Clackamas,,,9,721
2016,Residence county by place of occurrence,Clackamas,Umatilla,,,1,16
2015,Residence county by place of occurrence,Marion,Benton,,,25,92
2015,Residence county by place of occurrence,Multnomah,Malheur,,,3,12
2018,Residence county by place of occurrence,Marion,Multnomah,,,10,2578
2018,Residence county by place of occurrence,Multnomah,Out-of-state,,,732,828
2017,Residence county by place of occurrence,Clackamas,Linn,,,8,158
2018,Residence county by place of occurrence,Multnomah,Douglas,,,15,129
2016,Residence county by place of occurrence,Multnomah,Malheur,,,3,10
2015,Residence county by place of occurrence,Deschutes,Washington,,,1,1048
2015,Residence county by place of occurrence,Washington,Tillamook,,,6,31
2020,Residence county by place of occurrence,Multnomah,Douglas,,,11,76
2017,Residence county by place of occurrence,Multnomah,Marion,,,228,616
2019,Residence county by place of occurrence,Multnomah,Coos,,,11,88
2018,Residence county by place of occurrence,Lane,Jefferson,,,1,22
2016,Residence county by place of occurrence,Lane,Tillamook,,,1,36
2020,Residence county by place of occurrence,Lane,Curry,,,18,27
2016,Residence county by place of occurrence,Jackson,Coos,,,3,67
2018,Residence county by place of occurrence,Lane,Deschutes,,,1,394
2020,Residence county by place of occurrence,Multnomah,Washington,,,435,827
2017,Residence county by place of occurrence,Lane,Benton,,,32,101
2016,Residence county by place of occurrence,Multnomah,Lane,,,96,710
2019,Residence county by place of occurrence,Lane,Marion,,,3,701
2017,Residence county by place of occurrence,Jackson,Marion,,,2,616
2015,Residence county by place of occurrence,Multnomah,Benton,,,35,92
2019,Residence county by place of occurrence,Multnomah,Curry,,,4,31
2015,Residence county by place of occurrence,Multnomah,Sherman,,,1,1
2018,Residence county by place of occurrence,Washington,Tillamook,,,6,30
2019,Residence county by place of occurrence,Jackson,Coos,,,2,88
2017,Residence county by place of occurrence,Marion,Yamhill,,,27,145
2017,Residence county by place of occurrence,Deschutes,Marion,,,3,616
2015,Residence county by place of occurrence,Clackamas,Linn,,,1,134
2017,Residence county by place of occurrence,Marion,Out-of-state,,,5,844
2018,Residence county by place of occurrence,Multnomah,Jackson,,,26,403
2016,Residence county by place of occurrence,Washington,Tillamook,,,6,36
2019,Residence county by place of occurrence,Washington,Hood River,,,1,41
2016,Residence county by place of occurrence,Washington,Washington,,,423,1107
2018,Residence county by place of occurrence,Marion,Curry,,,1,23
2017,Residence county by place of occurrence,Washington,Out-of-state,,,11,844
2016,Residence county by place of occurrence,Multnomah,Lake,,,1,14
2015,Residence county by place of occurrence,Multnomah,Grant,,,2,5
2019,Residence county by place of occurrence,Washington,Clatsop,,,5,47
2016,Residence county by place of occurrence,Clackamas,Washington,,,24,1107
2017,Residence county by place of occurrence,Lane,Josephine,,,22,117
2020,Residence county by place of occurrence,Josephine,Out-of-state,,,3,672
2020,Residence county by place of occurrence,Deschutes,Jefferson,,,25,31
2017,Residence county by place of occurrence,Multnomah,Lane,,,79,620
2015,Residence county by place of occurrence,Multnomah,Wallowa,,,1,1
2017,Residence county by place of occurrence,Washington,Marion,,,14,616
2017,Residence county by place of occurrence,Lane,Coos,,,40,60
2018,Residence county by place of occurrence,Deschutes,Umatilla,,,1,13
2019,Residence county by place of occurrence,Benton,Linn,,,3,177
2018,Residence county by place of occurrence,Multnomah,Yamhill,,,74,149
2019,Residence county by place of occurrence,Jackson,Tillamook,,,1,29
2020,Residence county by place of occurrence,Multnomah,Umatilla,,,10,17
